"","id","subject","etype","group","edate","boxnum","weight","iti","fr","msn","comments","fn","sname","active","inactive","reward","beam1","beam2","beam3","beam4","latency.active","latency.inactive"
"26",11,"11","heroinSA","saline","01-19-22","Box11","285.000",10,1,"FR_SCRIPT_5choice_D:_0.611_E:_0.389_F:_29.000_I:_164.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_9856.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20220119","heroinSA_FR1_roomE_20220119_11.rDat",33,21,29,"0.000","0.000","0.000","29.000","302.64","287.36"
"27",12,"12","heroinSA","saline","01-19-22","Box12","280.000",10,1,"FR_SCRIPT_5choice_D:_0.618_E:_0.382_F:_17.000_I:_100.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_12940.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box12_Comments:","heroinSA_FR1_roomE_20220119","heroinSA_FR1_roomE_20220119_12.rDat",21,13,17,"0.000","0.000","0.000","17.000","37.09","53.78"
"28",13,"13","heroinSA","saline","01-19-22","Box13","295.000",10,1,"FR_SCRIPT_5choice_D:_0.778_E:_0.222_F:_39.000_I:_207.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_5012.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box13_Comments:","heroinSA_FR1_roomE_20220119","heroinSA_FR1_roomE_20220119_13.rDat",56,16,39,"0.000","0.000","0.000","39.000","21.15","173.68"
"29",14,"14","heroinSA","saline","01-19-22","Box14","275.000",10,1,"FR_SCRIPT_5choice_D:_0.662_E:_0.338_F:_28.000_I:_177.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_10657.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box14_Comments:","heroinSA_FR1_roomE_20220119","heroinSA_FR1_roomE_20220119_14.rDat",45,23,28,"0.000","0.000","0.000","28.000","12.24","21.19"
"30",15,"15","heroinSA","saline","01-19-22","Box15","252.000",10,1,"FR_SCRIPT_5choice_D:_0.564_E:_0.436_F:_24.000_I:_153.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_12796.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box15_Comments:","heroinSA_FR1_roomE_20220119","heroinSA_FR1_roomE_20220119_15.rDat",31,24,24,"0.000","0.000","0.000","24.000","107.31","100.98"
"31",1,"1","heroinSA","heroin","01-21-22","Box1","242.000",10,1,"FR_SCRIPT_D:_0.300_E:_0.700_F:_21.000_I:_184.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_2879.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box1_Comments:","heroinSA_FR1_roomE_20220121","heroinSA_FR1_roomE_20220121_1.rDat",21,49,21,"223171.000","219448.000","60076.000","21.000","40.02","0.22"
"32",2,"2","heroinSA","heroin","01-21-22","Box2","272.000",10,1,"FR_SCRIPT_D:_0.792_E:_0.208_F:_38.000_I:_176.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_4418.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box2_Comments:","heroinSA_FR1_roomE_20220121","heroinSA_FR1_roomE_20220121_2.rDat",38,10,38,"171125.000","211501.000","106379.000","38.000","32.18","61.81"
"33",3,"3","heroinSA","heroin","01-21-22","Box3","258.000",10,1,"FR_SCRIPT_box3_D:_0.724_E:_0.276_F:_21.000_I:_102.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_4119.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box3_Comments:","heroinSA_FR1_roomE_20220121","heroinSA_FR1_roomE_20220121_3.rDat",21,8,21,"250264.000","235174.000","30631.000","21.000","18.16","129.13"
"34",4,"4","heroinSA","heroin","01-21-22","Box4","235.000",10,1,"FR_SCRIPT_box4_D:_1.000_E:_0.000_F:_21.000_I:_86.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_4481.000_U:_0.000_V:_1.000_W:_1.000_X:_0.000_Y:_0.000_Z:_0.000","\Box4_Comments:","heroinSA_FR1_roomE_20220121","heroinSA_FR1_roomE_20220121_4.rDat",21,0,21,"200648.000","183568.000","46283.000","21.000","124.08","124.08"
"35",5,"5","heroinSA","heroin","01-21-22","Box5","264.000",10,1,"FR_SCRIPT_D:_0.549_E:_0.451_F:_28.000_I:_160.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_3745.000_U:_0.000_V:_0.000_W:_1.000_X:_0.000_Y:_0.000_Z:_0.000","\Box5_Comments:","heroinSA_FR1_roomE_20220121","heroinSA_FR1_roomE_20220121_5.rDat",28,23,28,"242371.000","183318.000","54332.000","28.000","0.9","1226.24"
"36",6,"6","heroinSA","heroin","01-21-22","Box6","257.000",10,1,"FR_SCRIPT_D:_0.828_E:_0.172_F:_24.000_I:_108.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_5859.000_U:_0.000_V:_1.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box6_Comments:","heroinSA_FR1_roomE_20220121","heroinSA_FR1_roomE_20220121_6.rDat",24,5,24,"278268.000","105795.000","18507.000","24.000","58.59","97.28"
"37",7,"7","heroinSA","heroin","01-21-22","Box7","275.000",10,1,"FR_SCRIPT_D:_0.711_E:_0.289_F:_32.000_I:_156.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_1453.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box7_Comments:","heroinSA_FR1_roomE_20220121","heroinSA_FR1_roomE_20220121_7.rDat",32,13,32,"110937.000","47467.000","15957.000","32.000","8.43","63.62"
"38",8,"8","heroinSA","heroin","01-21-22","Box8","246.000",10,1,"FR_SCRIPT_D:_0.493_E:_0.507_F:_37.000_I:_227.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_3992.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_1.000_Z:_0.000","\Box8_Comments:","heroinSA_FR1_roomE_20220121","heroinSA_FR1_roomE_20220121_8.rDat",37,38,37,"160211.000","126163.000","44687.000","37.000","231.15","512.82"
