"","id","subject","etype","group","edate","boxnum","weight","iti","fr","msn","comments","fn","sname","active","inactive","reward","beam1","beam2","beam3","beam4","latency.active","latency.inactive"
"23",8,"10","heroinSA","heroin","02-15-23","Box10","253.000",10,1,"FR_SCRIPT_D:_0.667_E:_0.333_F:_10.000_I:_52.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_8470.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230215","heroinSA_FR1_roomE_20230215_8.rDat",10,5,10,"126599.000","36681.000","17584.000","10.000","4.54","33.24"
"24",9,"3","heroinSA","heroin","02-15-23","Box3","250.000",10,1,"FR_SCRIPT_box3_D:_0.333_E:_0.667_F:_8.000_I:_66.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_2437.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_1.000","\Box3_Comments:","heroinSA_FR1_roomE_20230215","heroinSA_FR1_roomE_20230215_9.rDat",8,16,8,"151098.000","107776.000","73636.000","8.000","106.3","121.66"
"25",10,"4","heroinSA","heroin","02-15-23","Box4","256.000",10,1,"FR_SCRIPT_box4_D:_0.469_E:_0.531_F:_15.000_I:_96.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_12910.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box4_Comments:","heroinSA_FR1_roomE_20230215","heroinSA_FR1_roomE_20230215_10.rDat",15,17,15,"253390.000","163497.000","49317.000","15.000","167.44","96.2"
"26",11,"11","heroinSA","saline","02-15-23","Box11","247.000",10,1,"FR_SCRIPT_5choice_D:_0.111_E:_0.889_F:_5.000_I:_102.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_394.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230215","heroinSA_FR1_roomE_20230215_11.rDat",5,40,5,"0.000","0.000","0.000","5.000","766.17","344.72"
"27",12,"12","heroinSA","saline","02-15-23","Box12","262.000",10,1,"FR_SCRIPT_5choice_D:_0.300_E:_0.700_F:_3.000_I:_28.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_10328.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box12_Comments:","heroinSA_FR1_roomE_20230215","heroinSA_FR1_roomE_20230215_12.rDat",3,7,3,"0.000","0.000","0.000","3.000","495.57","264.43"
"28",13,"13","heroinSA","saline","02-15-23","Box13","221.000",10,1,"FR_SCRIPT_5choice_D:_0.591_E:_0.409_F:_13.000_I:_72.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_1997.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box13_Comments:","heroinSA_FR1_roomE_20230215","heroinSA_FR1_roomE_20230215_13.rDat",13,9,13,"0.000","0.000","0.000","13.000","1.83","3437.73"
"29",14,"14","heroinSA","saline","02-15-23","Box14","268.000",10,1,"FR_SCRIPT_5choice_D:_0.610_E:_0.390_F:_25.000_I:_134.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_7087.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box14_Comments:","heroinSA_FR1_roomE_20230215","heroinSA_FR1_roomE_20230215_14.rDat",25,16,25,"0.000","0.000","0.000","25.000","281.03","2559.2"
"30",15,"15","heroinSA","saline","02-15-23","Box15","251.000",10,1,"FR_SCRIPT_5choice_D:_0.333_E:_0.667_F:_7.000_I:_58.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_2308.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box15_Comments:","heroinSA_FR1_roomE_20230215","heroinSA_FR1_roomE_20230215_15.rDat",7,14,7,"0.000","0.000","0.000","7.000","258.42","1089.58"
"31",1,"1","heroinSA","heroin","02-16-23","Box1","276.000",10,1,"FR_SCRIPT_D:_0.273_E:_0.727_F:_12.000_I:_114.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_4399.000_U:_0.000_V:_1.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230216","heroinSA_FR1_roomE_20230216_1.rDat",12,32,12,"158168.000","127844.000","45981.000","12.000","41.67","1401.42"
"32",2,"2","heroinSA","heroin","02-16-23","Box2","247.000",10,1,"FR_SCRIPT_D:_0.200_E:_0.800_F:_1.000_I:_14.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_82665.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230216","heroinSA_FR1_roomE_20230216_2.rDat",1,4,1,"25155.000","71976.000","312049.000","1.000","891.28","189.4"
