"subject","e.type","group","boxnum","edate","weight","file name","fr","active","inactive","reward","beam1","beam2","beam3","beam4","latency to first active","latency to first inactive","act0-600","act600-1200","act1200-1800","act1800-2400","act2400-3000","act3000-3600","act3600-4200","act4200-4800","act4800-5400","act5400-6000","act6000-6600","act6600-7200","act7200-7800","act7800-8400","act8400-9000","act9000-9600","act9600-10200","act10200-10800","inact0-600","inact600-1200","inact1200-1800","inact1800-2400","inact2400-3000","inact3000-3600","inact3600-4200","inact4200-4800","inact4800-5400","inact5400-6000","inact6000-6600","inact6600-7200","inact7200-7800","inact7800-8400","inact8400-9000","inact9000-9600","inact9600-10200","inact10200-10800","rew0-600","rew600-1200","rew1200-1800","rew1800-2400","rew2400-3000","rew3000-3600","rew3600-4200","rew4200-4800","rew4800-5400","rew5400-6000","rew6000-6600","rew6600-7200","rew7200-7800","rew7800-8400","rew8400-9000","rew9000-9600","rew9600-10200","rew10200-10800","comments"
"7","heroinSA","heroin","Box7","01-21-22","275","heroinSA_FR1_roomE_20220121","1","32","13","32","110937","47467","15957","32","8.43","8.43","4","1","3","1","1","2","2","1","1","2","1","2","1","2","2","2","2","2","8","5","11","1","1","2","12","1","1","2","1","2","1","2","2","2","2","2","4","1","3","1","1","2","2","1","1","2","1","2","1","2","2","2","2","2","\Box7_Comments:"
"8","heroinSA","heroin","Box8","01-21-22","246","heroinSA_FR1_roomE_20220121","1","37","38","37","160211","126163","44687","37","231.15","231.15","3","2","1","1","1","3","0","3","6","0","0","3","0","5","0","4","3","2","9","2","31","15","1","19","0","3","10","0","0","3","0","5","6","5","3","2","3","2","1","1","1","3","0","3","6","0","0","3","0","5","0","4","3","2","\Box8_Comments:"
"9","heroinSA","heroin","Box9","01-21-22","261","heroinSA_FR1_roomE_20220121","1","45","7","45","274445","158645","61540","45","6.13","6.13","7","5","2","0","2","2","2","2","2","2","1","3","3","2","3","2","3","2","13","7","2","0","2","3","2","10","2","3","1","3","4","2","3","3","5","2","7","5","2","0","2","2","2","2","2","2","1","3","3","2","3","2","3","2","\Box9_Comments:"
"10","heroinSA","saline","Box10","01-21-22","248","heroinSA_FR1_roomE_20220121","1","14","3","14","43585","168822","279797","14","62.81","1.03","3","3","1","3","0","2","0","0","0","0","1","1","0","0","0","0","0","0","7","3","1","5","0","2","0","0","0","0","1","1","0","0","0","0","0","0","3","3","1","3","0","2","0","0","0","0","1","1","0","0","0","0","0","0","\Box10_Comments:"
"11","heroinSA","saline","Box11","01-21-22","285","heroinSA_FR1_roomE_20220121","1","5","10","5","0","0","0","5","341.55","305.09","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","8","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","6","6","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","\Box11_Comments:"
"12","heroinSA","saline","Box12","01-21-22","271","heroinSA_FR1_roomE_20220121","1","2","0","2","0","0","0","2","106.53","106.53","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","\Box12_Comments:"
"13","heroinSA","saline","Box13","01-21-22","243","heroinSA_FR1_roomE_20220121","1","21","11","21","0","0","0","21","46.28","46.28","7","0","0","0","0","6","4","1","0","0","1","0","0","0","0","0","0","2","9","0","0","0","0","14","6","1","0","0","1","0","0","0","0","0","10","2","7","0","0","0","0","6","4","1","0","0","1","0","0","0","0","0","0","2","\Box13_Comments:"
"14","heroinSA","saline","Box14","01-21-22","272","heroinSA_FR1_roomE_20220121","1","15","7","15","0","0","0","15","4.53","4.53","4","0","0","0","2","0","0","1","1","2","0","0","0","0","1","1","2","1","8","0","0","0","2","0","0","1","3","4","0","0","6","0","1","1","2","1","4","0","0","0","2","0","0","1","1","2","0","0","0","0","1","1","2","1","\Box14_Comments:"
"15","heroinSA","saline","Box15","01-21-22","255","heroinSA_FR1_roomE_20220121","1","5","1","5","0","0","0","5","49.33","49.33","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","\Box15_Comments:"
"1","heroinSA","heroin","Box1","01-24-22","250","heroinSA_FR1_roomE_20220124","1","17","47","17","254730","218805","53234","17","9.35","9.35","4","1","1","0","1","1","1","0","0","2","0","1","0","1","1","1","0","2","22","5","3","2","3","7","5","0","2","8","0","1","2","1","1","44","0","7","4","1","1","0","1","1","1","0","0","2","0","1","0","1","1","1","0","2","\Box1_Comments:"
"2","heroinSA","heroin","Box2","01-24-22","275","heroinSA_FR1_roomE_20220124","1","40","71","40","179096","211991","115943","40","61.77","61.77","2","3","3","0","3","4","4","1","4","0","1","4","0","3","5","0","0","3","34","3","5","0","25","4","9","1","4","0","1","5","0","40","9","0","6","39","2","3","3","0","3","4","4","1","4","0","1","4","0","3","5","0","0","3","\Box2_Comments:"
"3","heroinSA","heroin","Box3","01-24-22","254","heroinSA_FR1_roomE_20220124","1","20","22","20","245937","224430","37910","20","31.41","31.41","3","0","1","2","0","1","2","0","1","0","2","3","0","2","0","2","0","1","11","0","7","12","0","3","6","0","5","0","2","3","0","2","0","12","0","1","3","0","1","2","0","1","2","0","1","0","2","3","0","2","0","2","0","1","\Box3_Comments:"
"4","heroinSA","heroin","Box4","01-24-22","231","heroinSA_FR1_roomE_20220124","1","19","4","19","186425","227241","68090","19","49.42","49.42","3","2","0","1","1","1","0","1","2","0","4","0","0","1","3","0","0","0","3","2","0","5","1","1","0","1","2","0","4","0","2","1","3","0","0","2","3","2","0","1","1","1","0","1","2","0","4","0","0","1","3","0","0","0","\Box4_Comments:"
"5","heroinSA","heroin","Box5","01-24-22","259","heroinSA_FR1_roomE_20220124","1","17","48","17","255853","171786","52076","17","137.85","137.85","2","0","1","2","0","2","0","2","0","0","0","1","1","2","0","1","2","1","10","0","5","6","2","9","0","4","0","4","58","5","1","6","0","1","2","1","2","0","1","2","0","2","0","2","0","0","0","1","1","2","0","1","2","1","\Box5_Comments:"
"6","heroinSA","heroin","Box6","01-24-22","250","heroinSA_FR1_roomE_20220124","1","22","10","22","294782","73471","13236","22","21.39","21.39","2","1","0","0","1","0","1","5","0","2","1","1","0","3","1","1","0","3","6","3","0","2","5","0","1","5","0","2","1","1","0","3","1","7","0","5","2","1","0","0","1","0","1","5","0","2","1","1","0","3","1","1","0","3","\Box6_Comments:"
"7","heroinSA","heroin","Box7","01-24-22","273","heroinSA_FR1_roomE_20220124","1","41","8","41","143367","37127","9559","41","32.07","9.88","5","3","2","2","2","2","2","1","3","2","3","2","2","2","2","3","1","2","15","3","4","2","2","2","2","1","3","2","3","6","3","2","2","3","1","2","5","3","2","2","2","2","2","1","3","2","3","2","2","2","2","3","1","2","\Box7_Comments:"
"8","heroinSA","heroin","Box8","01-24-22","247","heroinSA_FR1_roomE_20220124","1","31","64","31","122729","110025","72681","31","34.45","34.45","4","1","2","1","1","0","2","3","1","2","3","0","2","2","2","1","1","3","6","13","2","17","7","8","20","3","1","2","3","8","10","28","18","1","1","11","4","1","2","1","1","0","2","3","1","2","3","0","2","2","2","1","1","3","\Box8_Comments:"
"9","heroinSA","heroin","Box9","01-24-22","256","heroinSA_FR1_roomE_20220124","1","48","49","48","270096","120212","45028","48","33.76","33.76","6","2","4","1","2","1","1","2","6","3","3","3","1","4","2","2","0","5","19","2","5","3","10","2","7","4","42","4","7","3","3","12","4","12","0","13","6","2","4","1","2","1","1","2","6","3","3","3","1","4","2","2","0","5","\Box9_Comments:"
"10","heroinSA","saline","Box10","01-24-22","254","heroinSA_FR1_roomE_20220124","1","10","17","10","60042","104453","256658","10","7.68","7.68","6","0","0","0","0","0","0","1","0","0","0","0","1","0","2","0","0","0","12","4","0","0","0","0","0","21","0","0","0","0","1","0","6","0","0","0","6","0","0","0","0","0","0","1","0","0","0","0","1","0","2","0","0","0","\Box10_Comments:"
"11","heroinSA","saline","Box11","01-24-22","283","heroinSA_FR1_roomE_20220124","1","16","17","16","0","0","0","16","22.93","22.93","5","0","1","3","0","2","0","1","0","2","0","0","0","0","0","2","0","0","21","4","1","9","0","2","0","1","0","6","0","0","2","0","0","4","0","0","5","0","1","3","0","2","0","1","0","2","0","0","0","0","0","2","0","0","\Box11_Comments:"
"12","heroinSA","saline","Box12","01-24-22","270","heroinSA_FR1_roomE_20220124","1","8","1","8","0","0","0","8","108.51","108.51","1","2","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","2","3","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","1","2","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","\Box12_Comments:"
"13","heroinSA","saline","Box13","01-24-22","244","heroinSA_FR1_roomE_20220124","1","20","9","20","0","0","0","20","200.04","200.04","3","3","3","1","0","1","0","1","0","1","0","0","4","0","0","0","3","0","5","5","5","1","0","11","0","1","0","1","0","0","4","0","0","0","5","0","3","3","3","1","0","1","0","1","0","1","0","0","4","0","0","0","3","0","\Box13_Comments:"
"14","heroinSA","saline","Box14","01-24-22","271","heroinSA_FR1_roomE_20220124","1","8","4","8","0","0","0","8","1.25","1.25","4","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","8","2","1","1","0","0","0","0","0","0","0","0","0","3","0","0","1","0","4","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","\Box14_Comments:"
"15","heroinSA","saline","Box15","01-24-22","257","heroinSA_FR1_roomE_20220124","1","7","0","7","0","0","0","7","76.11","76.11","2","0","2","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","2","0","2","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","2","0","2","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","\Box15_Comments:"
"1","heroinSA","heroin","Box1","01-25-22","248","heroinSA_FR1_roomE_20220125","1","15","54","15","277203","168930","40124","15","111.88","17.9","3","1","0","1","0","2","0","1","0","1","2","0","0","1","1","0","1","1","20","9","10","5","4","2","24","7","0","7","8","10","4","3","3","0","1","7","3","1","0","1","0","2","0","1","0","1","2","0","0","1","1","0","1","1","\Box1_Comments:"
"2","heroinSA","heroin","Box2","01-25-22","274","heroinSA_FR1_roomE_20220125","1","54","13","54","239447","205345","59188","54","20.8","20.8","5","3","4","1","3","4","3","2","0","5","2","4","0","5","3","2","4","4","17","5","8","1","4","4","6","3","0","12","2","4","0","9","3","2","4","4","5","3","4","1","3","4","3","2","0","5","2","4","0","5","3","2","4","4","\Box2_Comments:"
"3","heroinSA","heroin","Box3","01-25-22","260","heroinSA_FR1_roomE_20220125","1","29","7","29","258518","213840","28979","29","26.05","26.05","3","2","1","1","3","0","2","1","0","2","1","2","2","2","3","1","1","2","5","4","1","1","9","0","2","1","0","2","5","2","2","2","4","1","1","2","3","2","1","1","3","0","2","1","0","2","1","2","2","2","3","1","1","2","\Box3_Comments:"
"4","heroinSA","heroin","Box4","01-25-22","234","heroinSA_FR1_roomE_20220125","1","17","13","17","199078","216048","70447","17","32.7","32.7","4","0","2","0","2","0","0","2","0","1","0","1","0","1","2","0","1","1","4","2","2","0","12","0","0","8","0","3","0","3","0","3","2","0","3","1","4","0","2","0","2","0","0","2","0","1","0","1","0","1","2","0","1","1","\Box4_Comments:"
"5","heroinSA","heroin","Box5","01-25-22","264","heroinSA_FR1_roomE_20220125","1","18","41","18","228803","220026","82670","18","17.25","17.25","1","2","0","2","2","2","0","0","1","2","0","1","0","1","1","1","1","1","9","4","0","14","4","2","0","0","11","5","0","1","4","1","9","29","5","3","1","2","0","2","2","2","0","0","1","2","0","1","0","1","1","1","1","1","\Box5_Comments:"
"6","heroinSA","heroin","Box6","01-25-22","254","heroinSA_FR1_roomE_20220125","1","34","1","34","331392","63117","8477","34","183.03","183.03","4","0","2","7","0","3","2","1","2","1","2","1","0","3","1","2","2","1","4","0","2","7","0","5","2","1","2","1","2","1","0","3","1","2","2","1","4","0","2","7","0","3","2","1","2","1","2","1","0","3","1","2","2","1","\Box6_Comments:"
