"subject","e.type","group","boxnum","edate","weight","file name","fr","active","inactive","reward","beam1","beam2","beam3","beam4","latency to first active","latency to first inactive","act0-600","act600-1200","act1200-1800","act1800-2400","act2400-3000","act3000-3600","act3600-4200","act4200-4800","act4800-5400","act5400-6000","act6000-6600","act6600-7200","act7200-7800","act7800-8400","act8400-9000","act9000-9600","act9600-10200","act10200-10800","inact0-600","inact600-1200","inact1200-1800","inact1800-2400","inact2400-3000","inact3000-3600","inact3600-4200","inact4200-4800","inact4800-5400","inact5400-6000","inact6000-6600","inact6600-7200","inact7200-7800","inact7800-8400","inact8400-9000","inact9000-9600","inact9600-10200","inact10200-10800","rew0-600","rew600-1200","rew1200-1800","rew1800-2400","rew2400-3000","rew3000-3600","rew3600-4200","rew4200-4800","rew4800-5400","rew5400-6000","rew6000-6600","rew6600-7200","rew7200-7800","rew7800-8400","rew8400-9000","rew9000-9600","rew9600-10200","rew10200-10800","comments"
"4","heroinSA","heroin","Box4","02-15-23","256","heroinSA_FR1_roomE_20230215","1","15","17","15","253390","163497","49317","15","167.44","96.2","3","1","1","0","1","3","0","1","0","1","0","0","1","1","0","2","0","0","9","1","5","0","1","9","0","1","0","1","0","0","1","1","18","2","0","0","3","1","1","0","1","3","0","1","0","1","0","0","1","1","0","2","0","0","\Box4_Comments:"
"11","heroinSA","saline","Box11","02-15-23","247","heroinSA_FR1_roomE_20230215","1","5","40","5","0","0","0","5","766.17","344.72","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","19","15","0","0","0","0","8","6","0","0","0","4","2","0","10","4","9","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","\Box11_Comments:"
"12","heroinSA","saline","Box12","02-15-23","262","heroinSA_FR1_roomE_20230215","1","3","7","3","0","0","0","3","495.57","264.43","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","3","0","0","0","0","2","0","0","0","0","4","4","2","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","\Box12_Comments:"
"13","heroinSA","saline","Box13","02-15-23","221","heroinSA_FR1_roomE_20230215","1","13","9","13","0","0","0","13","1.83","1.83","4","3","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","2","4","3","0","2","0","12","0","0","0","0","0","0","2","0","2","4","0","2","4","3","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","2","\Box13_Comments:"
"14","heroinSA","saline","Box14","02-15-23","268","heroinSA_FR1_roomE_20230215","1","25","16","25","0","0","0","25","281.03","281.03","2","1","1","5","2","0","0","0","1","4","1","0","2","3","0","1","2","0","2","1","1","5","28","0","0","0","1","4","1","0","8","3","0","1","2","0","2","1","1","5","2","0","0","0","1","4","1","0","2","3","0","1","2","0","\Box14_Comments:"
"15","heroinSA","saline","Box15","02-15-23","251","heroinSA_FR1_roomE_20230215","1","7","14","7","0","0","0","7","258.42","258.42","1","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","6","2","2","0","0","0","0","20","0","0","0","0","0","0","0","1","1","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","\Box15_Comments:"
"1","heroinSA","heroin","Box1","02-16-23","276","heroinSA_FR1_roomE_20230216","1","12","32","12","158168","127844","45981","12","41.67","41.67","2","1","1","2","0","1","1","1","0","1","0","0","0","0","0","0","0","2","2","1","3","4","0","41","5","1","0","1","2","0","0","0","0","0","0","16","2","1","1","2","0","1","1","1","0","1","0","0","0","0","0","0","0","2","\Box11_Comments:"
"2","heroinSA","heroin","Box2","02-16-23","247","heroinSA_FR1_roomE_20230216","1","1","4","1","25155","71976","312049","1","891.28","189.4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","\Box11_Comments:"
"5","heroinSA","heroin","Box5","02-16-23","258","heroinSA_FR1_roomE_20230216","1","9","6","9","192825","147350","54065","9","0.64","0.64","3","0","0","1","0","2","0","0","0","1","0","1","0","0","0","0","0","1","7","0","2","1","0","4","0","0","0","1","0","1","0","0","4","0","0","1","3","0","0","1","0","2","0","0","0","1","0","1","0","0","0","0","0","1","\Box11_Comments:"
"6","heroinSA","heroin","Box6","02-16-23","238","heroinSA_FR1_roomE_20230216","1","6","6","6","211525","210406","85694","6","61.17","6.63","2","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","8","0","1","0","0","2","0","2","0","2","0","2","0","0","0","0","1","0","2","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","\Box11_Comments:"
